"latitude","longitude","brightness"
-15.7105,137.0309,337.2
-15.6273,136.5739,340.6
-15.6067,136.5813,341.1
-15.5971,136.5797,343.1
-15.4833,135.4007,338
-15.4742,135.3992,342
-16.113,126.0862,337.2
-16.1135,126.0815,336.4
-16.0958,126.1063,342.9
-14.3507,134.8976,336.1
-15.3239,130.8155,361.4
-15.3114,131.1515,339.7
-15.3615,130.8456,346.5
-15.3483,131.0256,355.8
-15.4023,130.8323,355.3
-15.4391,130.7879,341.7
-15.4375,130.8001,379.5
-16.0811,126.1043,333.6
-16.0988,126.0789,339.4
-11.4796,130.857,344
-11.4213,132.4885,352.8
-11.4226,132.4792,374.1
-11.4893,130.8583,333.6
-11.4276,130.7777,381.9
-11.4262,130.7883,362.5
-11.4146,130.8738,332.8
-11.2283,132.3562,339.7
-11.2374,132.3575,341.5
-11.481,130.8463,340.7
-12.7168,133.9223,332.8
-12.8616,132.9689,340.8
-13.3996,132.1252,334.8
-13.4801,132.1434,359.6
-13.4894,132.1448,334.9
-12.6886,133.9274,335.9
-11.637,132.7871,355.8
-11.6357,132.7964,365.5
-11.6445,132.7942,353.5
-12.6185,132.3972,336.7
-12.6172,132.4068,337
-12.7447,132.4901,334.5
-12.8189,132.6799,335.3
-12.6604,133.9259,337.8
